Baseline_Model_ID,Context_Length,Metric,BareTorch_Matched_Value,Baseline_Value,BareTorch_Advantage
Qwen/Qwen2.5-1.5B-Instruct,8192,Projected_FPS_qualcomm_8_gen3,20.34,19.39,1.05x
Qwen/Qwen2.5-1.5B-Instruct,8192,Projected_FPS_iphone_16_pro,50.84,48.48,1.05x
Qwen/Qwen2.5-1.5B-Instruct,8192,Projected_FPS_apple_m3_max,101.69,96.96,1.05x
Qwen/Qwen2.5-1.5B-Instruct,16384,Prefill_Latency_ms,536.12,731.86,+26.75%
Qwen/Qwen2.5-1.5B-Instruct,16384,Local_GPU_Decode_tok_s,142.28,54.2,2.63x
Qwen/Qwen2.5-1.5B-Instruct,16384,Active_Cache_MB,153.5,448.0,-65.74%
Qwen/Qwen2.5-1.5B-Instruct,16384,Projected_FPS_raspberry_pi_5,5.62,5.13,1.10x
Qwen/Qwen2.5-1.5B-Instruct,16384,Projected_FPS_qualcomm_8_gen3,19.84,18.11,1.10x
Qwen/Qwen2.5-1.5B-Instruct,16384,Projected_FPS_iphone_16_pro,49.59,45.28,1.10x
Qwen/Qwen2.5-1.5B-Instruct,16384,Projected_FPS_apple_m3_max,99.18,90.56,1.10x
Qwen/Qwen2.5-1.5B-Instruct,32768,Prefill_Latency_ms,1201.43,1861.84,+35.47%
Qwen/Qwen2.5-1.5B-Instruct,32768,Local_GPU_Decode_tok_s,107.58,51.8,2.08x
Qwen/Qwen2.5-1.5B-Instruct,32768,Active_Cache_MB,306.5,896.0,-65.79%
Qwen/Qwen2.5-1.5B-Instruct,32768,Projected_FPS_raspberry_pi_5,5.36,4.53,1.18x
Qwen/Qwen2.5-1.5B-Instruct,32768,Projected_FPS_qualcomm_8_gen3,18.9,16.0,1.18x
Qwen/Qwen2.5-1.5B-Instruct,32768,Projected_FPS_iphone_16_pro,47.25,40.0,1.18x
Qwen/Qwen2.5-1.5B-Instruct,32768,Projected_FPS_apple_m3_max,94.51,79.99,1.18x
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Prefill_Latency_ms,63.48,76.72,+17.26%
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Local_GPU_Decode_tok_s,154.46,62.14,2.49x
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Active_Cache_MB,24.56,384.0,-93.60%
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Projected_FPS_raspberry_pi_5,5.3,4.77,1.11x
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Projected_FPS_qualcomm_8_gen3,18.7,16.84,1.11x
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Projected_FPS_iphone_16_pro,46.76,42.1,1.11x
HuggingFaceTB/SmolLM2-1.7B-Instruct,2048,Projected_FPS_apple_m3_max,93.52,84.21,1.11x
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Prefill_Latency_ms,128.39,154.17,+16.72%
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Local_GPU_Decode_tok_s,154.09,63.87,2.41x
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Active_Cache_MB,48.56,768.0,-93.68%
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Projected_FPS_raspberry_pi_5,5.26,4.32,1.22x
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Projected_FPS_qualcomm_8_gen3,18.57,15.24,1.22x
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Projected_FPS_iphone_16_pro,46.42,38.09,1.22x
HuggingFaceTB/SmolLM2-1.7B-Instruct,4096,Projected_FPS_apple_m3_max,92.84,76.19,1.22x
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Prefill_Latency_ms,264.29,356.35,+25.83%
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Local_GPU_Decode_tok_s,151.79,60.8,2.50x
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Active_Cache_MB,96.56,1536.0,-93.71%
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Projected_FPS_raspberry_pi_5,5.19,3.63,1.43x
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Projected_FPS_qualcomm_8_gen3,18.3,12.8,1.43x
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Projected_FPS_iphone_16_pro,45.76,32.0,1.43x
HuggingFaceTB/SmolLM2-1.7B-Instruct,8192,Projected_FPS_apple_m3_max,91.51,64.0,1.43x
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Prefill_Latency_ms,607.83,830.03,+26.77%
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Local_GPU_Decode_tok_s,138.54,59.71,2.32x
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Active_Cache_MB,192.56,3072.0,-93.73%
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Projected_FPS_raspberry_pi_5,5.04,2.75,1.83x
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Projected_FPS_qualcomm_8_gen3,17.79,9.7,1.83x
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Projected_FPS_iphone_16_pro,44.48,24.24,1.83x
HuggingFaceTB/SmolLM2-1.7B-Instruct,16384,Projected_FPS_apple_m3_max,88.97,48.48,1.84x
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Prefill_Latency_ms,1278.61,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Local_GPU_Decode_tok_s,100.42,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Active_Cache_MB,384.56,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Projected_FPS_raspberry_pi_5,4.78,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Projected_FPS_qualcomm_8_gen3,16.86,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Projected_FPS_iphone_16_pro,42.14,OOM,N/A
HuggingFaceTB/SmolLM2-1.7B-Instruct,32768,Projected_FPS_apple_m3_max,84.28,OOM,N/A
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Prefill_Latency_ms,68.52,71.2,+3.76%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Local_GPU_Decode_tok_s,116.42,54.51,2.14x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Active_Cache_MB,26.1,56.0,-53.39%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Projected_FPS_raspberry_pi_5,5.1,5.05,1.01x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Projected_FPS_qualcomm_8_gen3,18.01,17.83,1.01x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Projected_FPS_iphone_16_pro,45.02,44.58,1.01x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2048,Projected_FPS_apple_m3_max,90.04,89.16,1.01x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Prefill_Latency_ms,139.51,147.43,+5.37%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Local_GPU_Decode_tok_s,117.26,53.97,2.17x
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Active_Cache_MB,51.6,112.0,-53.93%
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,4096,Projected_FPS_raspberry_pi_5,5.06,4.97,1.02x
